cluster_id	total_hits	terminal_hits	left_hits	right_hits	terminal_fraction	expected_terminal_fraction	terminal_enrichment	median_width	mean_width	min_width	max_width	n_chromosomes	score
cluster_358	385	5	5	0	0.012987012987012988	0.003920968219582141	3.312195422077922	13	16.27012987012987	11	476	1	10.54211280148431
cluster_1327	75	3	3	0	0.04	0.003920968219582141	10.2015619	15	20.88	11	342	1	10.456884014085304
cluster_308	76	3	3	0	0.039473684210526314	0.003920968219582141	10.067330822368419	21.0	26.973684210526315	11	529	1	10.404706245422396
cluster_362	425	5	5	0	0.011764705882352941	0.003920968219582141	3.0004593823529406	14	15.828235294117647	11	474	1	10.000828388235618
cluster_348	85	3	3	0	0.03529411764705882	0.003920968219582141	9.001378147058823	14	30.08235294117647	11	480	1	9.966380717342648
cluster_18	227	4	4	0	0.01762114537444934	0.003920968219582141	4.49408013215859	12	26.01762114537445	11	549	1	9.831511810147788
cluster_305	227	4	4	0	0.01762114537444934	0.003920968219582141	4.49408013215859	11	14.506607929515418	11	529	1	9.831511810147788
cluster_352	441	5	5	0	0.011337868480725623	0.003920968219582141	2.891599178004535	14	15.272108843537415	11	478	1	9.801815624485462
cluster_17	443	5	4	1	0.011286681715575621	0.003920968219582141	2.878544554176072	13	15.632054176072234	11	552	1	9.777576872374578
cluster_34	731	6	6	0	0.008207934336525308	0.003920968219582141	2.0933437551299585	13	13.90560875512996	11	540	1	9.775002991376532
cluster_6443	234	4	4	0	0.017094017094017096	0.003920968219582141	4.359641837606838	20.0	20.28205128205128	11	179	1	9.688546378573125
cluster_30	453	5	5	0	0.011037527593818985	0.003920968219582141	2.815000524282561	14	14.838852097130243	11	543	1	9.658416276622487
cluster_73	1118	7	7	0	0.006261180679785331	0.003920968219582141	1.5968455567978532	12.0	13.358676207513417	11	537	1	9.637321502245051
cluster_91	93	3	1	2	0.03225806451612903	0.003920968219582141	8.227066048387096	13	40.88172043010753	11	537	1	9.617615951090816
cluster_516	761	6	6	0	0.00788436268068331	0.003920968219582141	2.010820348226018	19	21.863337713534822	11	354	1	9.540939761250057
cluster_1	1144	7	7	0	0.006118881118881119	0.003920968219582141	1.5605536123251746	11.0	14.4256993006993	11	733	1	9.495190363707817
cluster_1260	469	5	5	0	0.010660980810234541	0.003920968219582141	2.7189663912579953	11	12.002132196162046	11	342	1	9.474508551009906
cluster_501	474	5	5	0	0.010548523206751054	0.003920968219582141	2.690285311181434	11.0	23.9789029535865	11	358	1	9.418661806515416
cluster_1654	250	4	4	0	0.016	0.003920968219582141	4.08062476	15.0	17.072	14	341	1	9.380023659433142
cluster_1068	789	6	4	2	0.0076045627376425855	0.003920968219582141	1.9394604372623572	16	16.485424588086186	11	343	1	9.33330816317665
cluster_2147	792	6	5	1	0.007575757575757576	0.003920968219582141	1.932113996212121	19.0	18.31313131313131	12	226	1	9.31164716634096
cluster_7253	254	4	4	0	0.015748031496062992	0.003920968219582141	4.016362952755905	20.0	20.570866141732285	13	171	1	9.30656694534869
cluster_1849	1662	8	7	1	0.0048134777376654635	0.003920968219582141	1.2276247773766547	16.0	18.162454873646208	11	315	1	9.244049956911821
cluster_2241	506	5	5	0	0.009881422924901186	0.003920968219582141	2.520148690711462	19.5	22.786561264822133	11	195	1	9.07818184718422
cluster_831	112	3	2	1	0.026785714285714284	0.003920968219582141	6.831403058035713	15.0	17.678571428571427	11	343	1	8.90781240283055
cluster_350	855	6	6	0	0.007017543859649123	0.003920968219582141	1.789747701754386	11	15.066666666666666	11	479	1	8.880807923968817
cluster_227	114	3	2	1	0.02631578947368421	0.003920968219582141	6.711553881578946	14.0	25.29824561403509	11	535	1	8.841064779398883
cluster_6622	114	3	2	1	0.02631578947368421	0.003920968219582141	6.711553881578946	20.0	23.06140350877193	14	179	1	8.841064779398883
cluster_2023	25	2	2	0	0.08	0.003920968219582141	20.4031238	19	27.88	11	267	1	8.839498938343036
cluster_2650	25	2	2	0	0.08	0.003920968219582141	20.4031238	20	33.36	16	187	1	8.839498938343036
cluster_1209	288	4	4	0	0.013888888888888888	0.003920968219582141	3.542208993055555	15.0	16.055555555555557	11	342	1	8.733576351531216
cluster_315	26	2	2	0	0.07692307692307693	0.003920968219582141	19.618388269230767	14.0	34.07692307692308	11	524	1	8.731719314268531
cluster_1334	119	3	3	0	0.025210084033613446	0.003920968219582141	6.429555819327731	16	19.11764705882353	12	342	1	8.679827882732292
cluster_2695	298	4	4	0	0.013422818791946308	0.003920968219582141	3.423342919463087	17.0	18.875838926174495	11	187	1	8.580548365764201
cluster_628	563	5	5	0	0.008880994671403197	0.003920968219582141	2.2650004218472466	15	15.966252220248668	11	345	1	8.535415890859895
cluster_355	305	4	4	0	0.013114754098360656	0.003920968219582141	3.3447743934426226	15	17.16393442622951	11	477	1	8.47712506267024
cluster_2722	29	2	2	0	0.06896551724137931	0.003920968219582141	17.588899827586204	16	22.137931034482758	15	186	1	8.43273896533484
cluster_430	934	6	5	1	0.006423982869379015	0.003920968219582141	1.6383664721627407	12.0	14.209850107066382	11	382	1	8.39786982313431
cluster_622	135	3	3	0	0.022222222222222223	0.003920968219582141	5.667534388888889	14	16.466666666666665	11	346	1	8.21146008218643
cluster_7196	136	3	3	0	0.022058823529411766	0.003920968219582141	5.625861341911764	20.0	22.235294117647058	13	173	1	8.184324038224165
cluster_7980	33	2	2	0	0.06060606060606061	0.003920968219582141	15.456911969696968	23	25.393939393939394	15	130	1	8.081243487786898
